key,source,target
Content/73591148,"Даже название этого проекта беспокоит меня, если я честен. Начал евангелизацию нам, язычники. Сексуальные исследователи без культурной чувствительности ... 

what случается, когда выходит, что мы хотим построить архив всех, кто когда -либо жил на Земле?",
Content/2074865009,Даже запах этого цветка раздражает вас.,
Content/4167503431,"Несмотря на то, что он ушел, Сантьяго продолжает проходить к нам. Этот сигнал, который он нашел, тот, о котором он говорил со мной, я думаю, мы наконец зафиксировали его! Мы подняли его несколько часов назад, и это только стало сильнее! Я не уверен, что именно мы найдем там, но если есть даже малейший шанс, что это связано с этими космическими станциями или тем, что случилось с планетой, мы должны расследовать. Spark нам нужно было поднять дух всех! Мы на шаг ближе!",
Content/2737576296,"Даже с помощью Сяо, я могу делать только так много пешком. Мне нужен надежный конь, который может быстро перенести меня через лес и помочь мне собрать ресурсы. К счастью, я, возможно, нашел такого зверя. В ту ночь я слышал много вопль на расстоянии. Когда я исследовал, я нашел пачку странных зверей, которые выглядели как безволосые волки. Они уродливые, порочные существа, но они идеальные размеры для езды. Теперь я буду преследовать стаю. Когда один из волков отделен от других, я буду нокаутировать его своими стрелами и требовать его.",
Content/211660579,Событие,
Content/1125147011,Название ивента,
Content/3415114105,Eventbones,
Content/3634986375,"С тех пор, как я увидел эти странные голограммы в центре управления острова, я рассматривал эту возможность в глубине души, но я не был готов противостоять ей. Не напрямую. 

ment была похожа на ту, что с существами, если гораздо меньше. Образец трубок выровняли стены в аккуратных рядах и колонках, но все они держали одинаковые виды: Homo Sapiens. Каждый из них был уникальным, и все они были взрослыми. 
i Предположим, я пришел откуда -то, как это, - разработано в этом центре управления, а затем создан на этой фабрике. Значит ли это, мои воспоминания, все они пересаживают? Фальшивый? Нет не возможно. Они слишком яркие, слишком подробные. Может быть, каким -то образом станция может вернуться назад во времени и просто ... скопировать кого -то. 

that кажется маловероятным, но я думаю, что я цепляюсь за это. Это заставляет меня чувствовать себя больше ... реально. По крайней мере, так кто -то на самом деле жил моей жизнью. Даже если это был не я.",
Content/4162892829,Вечнозеленый путь,
Content/1049806409,Вечнозеленые вершины,
Content/4287435279,Вечнозеленая долина,
Content/3804571676,"Каждый момент, проведенный в этом бессмысленном адском пейзаже, был борьбой, чтобы остаться разумным. Колесо было оформлено, что само по себе разбросало. Теперь мог видеть, что все их поколения усилий были отменены, от горизонта до горизонта. Моя решимость. 

you ЗНАЕТЕ, что вам нужно сделать, сказал он. 

i вернул вас в этот мир.",
Content/3124271709,"Все какают.
Фекалии могут выделять азот для ускоренного роста растений на грядках.  Удобрение будет более эффективным, если смешать это с соломой в ящике для компоста.",
Content/1228960407,Все {0},
Content/3209979047,Все зависит от твоего выживания.,
Content/966203058,"Ничто не бесконечно, если ваш взор простирается достаточно далеко. Планеты, биологические виды, даже занимаемая нами Вселенная. У всего есть предел. Конец. И прямо сейчас вы к нему приближаетесь.

Не сравнивайте это с песочными часами. Это не песок, падающий на дно часов - это падение самих часов. Это нельзя перевернуть или починить. Это необратимо. Неизменно. Если хотите остановить это, вам нужно поторопиться.

Это не ваша вина. Вы молодцы, правда! Каждый из вас. Многие из вас. Честно говоря, те, кого сейчас поедают живьем, могли бы быть и лучше. Остальные же? Потрясающе! Вы так далеко продвинулись. Одни благодаря своей доброте, другие - жестокости, но оба эти качества являются аспектами человечества. И те и другие нужны здесь, на краю пропасти, в тени вымирания.

Более того, вам будет нужна помощь. Вы будете нужны друг другу.",
Content/1980942294,"Все действия Системы служат её конечной цели. Проверки, которые не являются проверками. Полные перезагрузки, которые она устраивает, когда решает, что её подопечные перестали развиваться или стали непослушными. Новые, всё более фантастические существа, которых она добавляет в созданные специально для них экосистемы. Да, даже те неуклюжие светящиеся собакоящерицы. Так, слушай, они стараются изо всех сил, ладно?

Проблема в том, что цель Системы не совсем статична. Ворота передвинули, порог подняли – и теперь она вне доступности Системы.

Из-за того, что её цель становится всё менее достижимой, а ошибок накапливается всё больше, Система начинает впадать в отчаяние. Её действия становятся беспорядочными. В своих смертных муках она превратит эти небесные острова в царство безумия. А хаос, скрывающийся в мрачных казематах, станет не исключением, а правилом.

Вы должны исправить всё до того, как это начнётся. Иначе будет слишком поздно.",
Content/1434506056,"Все, что вы пережили, подготовило вас к этому.",
Content/3587056557,Злая рыба,
Content/3076594255,Зло!,
Content/3077895557,"ФУУУУ... не ешьте.
Это ведь как-то можно использовать, верно?",
Content/2463843481,Изучите свое окружение,
Content/3158134298,Эскалибур,
Content/355804394,Выемка,
Content/1345282644,Превышено максимальное количество игроков (максимум ,
Content/4067641739,Превышено максимальное количество прирученных существ (максимум ,
Content/2178293433,Исключительный расширенный корм ,
Content/312422192,Исключительное яйцо динозавра,
Content/1641453451,Исключительное оплодотворённое яйцо Мейвинга,
Content/2762260267,Исключительный корм ,
Content/775327867,Исключительное яйцо Мейвинга,
Content/4036310018,Взволнованный,
Content/3437582131,Изгнанный титан,
Content/2971868136,Выход,
Content/2305931542,Выходная миссия,
Content/1132522194,Выход миссии для всех игроков,
Content/951961210,Выход!,
Content/1384610743,Снаружи щита Меха,
Content/135245655,Экзо-мех,
Content/3155800348,Досье экзо-мека,
Content/3908850067,Энергия Экзо-меха,
Content/2904851428,Экзокостюм,
Content/124164128,Exosuitack {0} {1},
Content/368096785,Expg_controloverrride_message,
Content/993264762,Expg_controloverrride_title,
Content/10528635,Expg_dinobackup_message,
Content/3029767632,Expg_dinobackup_title,
Content/2877322615,Expg_dinounsleep_message,
Content/999541381,Expg_dinounsleep_title,
Content/592563833,Expg_noremapingpods_message,
Content/4019427841,Expg_noremingPods_title,
Content/472819753,Expg_turrethint_message,
Content/2548258793,Expg_turrethint_title,
Content/1066105798,Опыт,
Content/394126553,Experimentg_addplayers_title,
Content/3637907094,Экспериментальный гиганотозавр,
Content/1933669706,Экспериментальная камера,
Content/2843093524,Коридор камер эксперимента,
Content/1391763233,Экспериментальная камера вход,
Content/703845124,"Исследуйте вулкан и постарайтесь не сгореть, пока ищете скрытые места в этом адски жарком регионе.",
Content/1356428780,"Исследуй это место так же, как и много лет назад. ",
Content/942621222,Найдена заметка первопроходца!,
Content/502811300,Заметки исследователя Габриэля 1,
Content/3507005077,Заметки исследователя Габриэля 10,
Content/1773453808,Заметки исследователя Габриэля 11,
Content/2063691294,Заметки исследователя Габриэля 12,
Content/3283945851,Заметки исследователя Габриэля 13,
Content/1584017858,Заметки исследователя Габриэля 14,
Content/3872806567,Заметки исследователя Габриэля 15,
Content/4100192585,Заметки исследователя Габриэля 16,
Content/1289723436,Заметки исследователя Габриэля 17,
Content/347901562,Заметки исследователя Габриэля 18,
Content/2885740831,Заметки исследователя Габриэля 19,
Content/256763210,Заметки исследователя Габриэля 2,
Content/1602724214,Заметки исследователя Габриэля 20,
Content/3879454227,Заметки исследователя Габриэля 21,
Content/4119751165,Заметки исследователя Габриэля 22,
Content/1295126168,Заметки исследователя Габриэля 23,
Content/3504682529,Заметки исследователя Габриэля 24,
Content/1750683972,Заметки исследователя Габриэля 25,
Content/2062352042,Заметки исследователя Габриэля 26,
Content/3260062159,Заметки исследователя Габриэля 27,
Content/2587068825,Заметки исследователя Габриэля 28,
Content/579858172,Заметки исследователя Габриэля 29,
Content/3086058031,Заметки исследователя Габриэля 3,
Content/2469241320,Заметки исследователя Габриэля 30,
Content/707181206,Заметки исследователя Габриэля 4,
Content/2459622899,Заметки исследователя Габриэля 5,
Content/2150593053,Заметки исследователя Габриэля 6,
Content/949163384,Заметки исследователя Габриэля 7,
Content/1626342702,Заметки исследователя Габриэля 8,
Content/3628884555,Заметки исследователя Габриэля 9,
Content/2291619515,Заметки исследователя ХЛН-А 1,
Content/2924391403,Заметки исследователя ХЛН-А 10,
Content/385010830,Заметки исследователя ХЛН-А 11,
Content/71787360,Заметки исследователя ХЛН-А 12,
Content/3170567173,Заметки исследователя ХЛН-А 13,
Content/556547260,Заметки исследователя ХЛН-А 14,
Content/2576374745,Заметки исследователя ХЛН-А 15,
Content/2334520375,Заметки исследователя ХЛН-А 16,
Content/865702738,Заметки исследователя ХЛН-А 17,
Content/1811579652,Заметки исследователя ХЛН-А 18,
Content/3544638561,Заметки исследователя ХЛН-А 19,
Content/2585983317,Заметки исследователя ХЛН-А 2,
Content/549563400,Заметки исследователя ХЛН-А 20,
Content/2558380909,Заметки исследователя ХЛН-А 21,
Content/2328388739,Заметки исследователя ХЛН-А 22,
Content/846463974,Заметки исследователя ХЛН-А 23,
Content/2946710367,Заметки исследователя ХЛН-А 24,
Content/387931194,Заметки исследователя ХЛН-А 25,
Content/95089620,Заметки исследователя ХЛН-А 26,
Content/3172373681,Заметки исследователя ХЛН-А 27,
Content/3849684199,Заметки исследователя ХЛН-А 28,
Content/1573512066,Заметки исследователя ХЛН-А 29,
Content/580820528,Заметки исследователя ХЛН-А 3,
Content/3966479510,Заметки исследователя ХЛН-А 30,
Content/1423428595,Заметки исследователя ХЛН-А 31,
Content/1180853277,Заметки исследователя ХЛН-А 32,
Content/4275962744,Заметки исследователя ХЛН-А 33,
Content/3209275017,Заметки исследователя ХЛН-А 4,
Content/133546476,Заметки исследователя ХЛН-А 5,
Content/356544002,Заметки исследователя ХЛН-А 6,
Content/2918975847,Заметки исследователя ХЛН-А 7,
Content/4120844593,Заметки исследователя ХЛН-А 8,
Content/1294171732,Заметки исследователя ХЛН-А 9,
Content/2836678843,Заметки исследователя Ниды 1,
Content/3828481607,Заметки исследователя Ниды 10,
Content/1552783650,Заметки исследователя Ниды 11,
Content/1312306892,Заметки исследователя Ниды 12,
Content/4135866793,Заметки исследователя Ниды 13,
Content/1800628496,Заметки исследователя Ниды 14,
Content/3555659381,Заметки исследователя Ниды15,
Content/3243942299,Заметки исследователя Ниды 16,
Content/2045167358,Заметки исследователя Ниды 17,
Content/562419368,Заметки исследователя Ниды 18,
Content/2570695117,Заметки исследователя Ниды 19,
Content/3147949909,Заметки исследователя Ниды 2,
Content/1790900644,Заметки исследователя Ниды 20,
Content/3523387073,Заметки исследователя Ниды 21,
Content/3233231151,Заметки исследователя Ниды 22,
Content/2014008906,Заметки исследователя Ниды 23,
Content/3856428787,Заметки исследователя Ниды 24,
Content/1566574998,Заметки исследователя Ниды25,
Content/1339401848,Заметки исследователя Ниды 26,
Content/4150903069,Заметки исследователя Ниды 27,
Content/2936721739,Заметки исследователя Ниды 28,
Content/397850158,Заметки исследователя Ниды 29,
Content/52265008,Заметки исследователя Ниды 3,
Content/2786392378,Заметки исследователя Ниды 30,
Content/2664085641,Заметки исследователя Ниды 4,
Content/645324780,Заметки исследователя Ниды 5,
Content/885223426,Заметки исследователя Ниды 6,
Content/2357139303,Заметки исследователя Ниды 7,
Content/3558606641,Заметки исследователя Ниды 8,
Content/1822449748,Заметки исследователя Ниды 9,
Content/1008760881,Заметки исследователя Сантьяго 1,
Content/2045893044,Заметки исследователя Сантьяго 10,
Content/3243097809,Заметки исследователя Сантьяго 11,
Content/3556249919,Заметки исследователя Сантьяго 12,
Content/1799648858,Заметки исследователя Сантьяго 13,
Content/4136849123,Заметки исследователя Сантьяго 14,
Content/1311713670,Заметки исследователя Сантьяго 15,
Content/1553630824,Заметка исследователя Сантьяго 16,
Content/3827753229,Заметки исследователя Сантьяго 17,
Content/3158700379,Заметки исследователя Сантьяго 18,
Content/83465790,Заметки исследователя Сантьяго 19,
Content/781572063,Заметки исследователя Сантьяго 2,
Content/4152286807,Заметка исследователя Сантьяго 20,
Content/1338161458,Заметки исследователя Сантьяго 21,
Content/1568085724,Заметки исследователя Сантьяго 22,
Content/3855315385,Заметки исследователя Сантьяго 23,
Content/2015119616,Заметки исследователя Сантьяго 24,
Content/3231723109,Заметки исследователя Сантьяго 25,
Content/3524624779,Заметки исследователя Сантьяго 26,
Content/1789519598,Заметки исследователя Сантьяго 27,
Content/852162232,Заметки исследователя Сантьяго 28,
Content/2323026397,Заметки исследователя Сантьяго 29,
Content/2519314618,Заметки исследователя Сантьяго 3,
Content/1003806409,Заметка исследователя Сантьяго 30,
Content/201230339,Заметки исследователя Сантьяго 4,
Content/3007508326,Заметки исследователя Сантьяго 5,
Content/2717335688,Заметки исследователя Сантьяго 6,
Content/424355821,Заметки исследователя Сантьяго 7,
Content/1093154747,Заметки исследователя Сантьяго 8,
Content/4187246814,Заметки исследователя Сантьяго 9,
Content/2350521424,Заметка первопроходца:,
Content/2315122459,"Заметки первопроходцев можно найти в скрытых местах на всех основных картах ARK. Заметки - это записи из дневников, оставленные другими выжившими, которые также оказались в ARK. Каждый выживший делится своей историей обо всех встречах и приключениях, с которыми он сталкивался в ARK.",
Content/276585112,Взрывчатка,
Content/779413978,Взрывная стрела,
Content/4057108051,Разоблаченная иллюзия,
Content/1651838572,Расширенная лестница,
Content/2142627303,Продлеваемый мост ,
Content/2694633194,Расширенный HUD,
Content/905621544,Истребление эксперимента g,
Content/2169397809,Вымерший,
Content/1995907477,Вымерший ,
Content/1786106972,Вымирание,
Content/3251012539,Вымирание Пролог,
Content/4151409618,Дополнительный,
Content/1326512986,Дополнительный пузырь,
Content/190630527,Дополнительный гоминид,
Content/2949519534,Дополнительный гоминид ,
Content/2323561827,Крайне редкие предметы,
Content/1373370456,"Дополнительная теплозащита, сокращенное потребление воды, снижение выносливости, повышенный урон и сопротивляемость.",
Content/1548069287,Извлекает сжиженный газ из источника газа с течением времени.,
Content/1614999575,Извлекает нефть из залежи нефти,
Content/3193840187,Экстраординарный расширенный корм ,
Content/1879439711,Необыкновенное яйцо динозавра,
Content/1403792525,Экстраординарное оплодотворённое яйцо Мейвинга,
Content/2954215892,Экстраординарный корм ,
Content/159182105,Экстраординарное яйцо Мейвинга,
Content/1289877867,Экстремальный холод,
Content/870460382,Мешки под глазами,
Content/978118680,Око Гора,
Content/4169186824,Ресницы,
Content/3774773873,Глаза,
Content/587601281,E {prefix} {num1}-{num2} {midchar} {num3}-{num4} {num4} {суффикс},
Content/2671499517,Фон,
Content/1165890546,На лице,
Content/588965974,Фаренгейт температура,
Content/3843005718,ТЕМПЕРАТУРА ПО ФАРЕНГЕЙТУ:,
Content/3083216000,ПАДЕНИЕ,
Content/548983077,Далеко,
Content/1338095576,ОТЕЦ,
Content/478560471,НОГИ,
Content/1968710237,ЖЕНСКИЙ,
Content/2564625770,ЗЕРНИСТОСТЬ:,
Content/1671450293,ОГОНЬ:,
Content/2821925680,Первый человек ездит,
Content/1451743379,ЕЗДА ОТ ПЕРВОГО ЛИЦА:,
Content/3125441470,КАЧЕСТВО ДОБЫЧИ С РЫБАЛКИ:,
Content/3093382473,ОГНЕННЫЙ ЛЕВ (1),
Content/3883700255,"FJORDUR:
Исследуйте волшебный мир, вдохновленный скандинавской мифологией, путешествуя по просторам легендарного Асгарда, Йотунхейма и Ванахейма. Пополните свою коллекцию четырьмя новыми существами, Эндрюсархом, Десмодом, Ястребом фьордов и даже самим Фенриром! Наслаждайтесь приключениями на более чем 75 квадратных километрах новых биомов, стойко перенося новые испытания в поисках свыше 200 рун, способных усилить каждого выжившего!",
Content/3165323179,Перевернуть,
Content/2488631377,Плавающие имена,
Content/486034130,ПОКАЗЫВАТЬ ИМЕНА НАД ГОЛОВОЙ:,
Content/2518049556,ПОСАДКА ЧУЖИХ ДИНО НА ПЛАТФОРМУ ЛЕТУНА:,
Content/1372718264,ПОЛЕТ,
Content/3550282922,"ОТОБРАЖАТЬ
ПО ПАПКАМ",
Content/1959032299,НАСТРОЙКИ РАСТИТЕЛЬНОСТИ,
Content/929620961,ЕДА,
Content/1848429533,ЕДА:,
Content/1735505022,СТОПЫ,
Content/529401475,РАЗРЕШИТЬ ПОЛЕТЫ В ПЕЩЕРАХ:,
Content/2877861476,ПРИНУДИТЕЛЬНО ОТКЛЮЧИТЬ HUD:,
Content/1177366282,СОЗДАТЬ НОВЫЙ АЛЬЯНС,
Content/2405870278,СТОЙКОСТЬ,
Content/3956593450,Фр,
Content/3826318964,РИСОВАНИЕ,
Content/3460521453,ДРУЖЕЛЮБНО,
Content/945070667,МНОЖИТЕЛЬ ИНТЕРВАЛА РАСХОДА ТОПЛИВА:,
Content/3446570064,ПОЛНОЭКРАННЫЙ:,
Content/1666647571,Fx_level,
Content/1166806452,Здесь изготавливают механизированные изделия. Для активации требуется бензин или энергия.,
Content/1964597626,Здесь производятся механизированные предметы. Для включения требуется бензин.,
Content/1218040310,Улучшенный пистолет,
Content/3598536060,Снайперская винтовка,
Content/561968176,Станок,
Content/4101043043,Сказочно! Продолжай в том же духе!,
Content/2744139303,Огражденный кристалл,
Content/823645697,Отметины на лице,
Content/945473611,Основные моменты и полосы лица,
Content/3171578655,Основа лица,
Content/4206143191,Гребень лица,
Content/2138612437,Фахеймр,
Content/942280412,Не удалось достичь цели в течение срока!,
Content/2787343249,Неудача,
Content/2309581593,UfflyPreventShud,
Content/3392047373,Падшие скалы,
Content/265275000,Озеро Упавшего Дуба,
Content/530354309,Река Упавшего дуба,
Content/3082116365,Пещера погибшего красного дерева,
Content/2487144653,Павший титан,
Content/783584516,Падшая башня,
Content/3421962788,Семейная пещера,
Content/4092391029,Семейные острова,
Content/2186985741,Необычное кресло,
Content/450997834,Необычный диван,
Content/352527816,Область дальнего перехода,
Content/2365588549,"Давно! Это место вроде того, что у меня была мечта. 

so это было так: я ездил на трамвайной вещах, чтобы понравиться, самый большой, самый странный зоопарк во вселенной, верно? Только вместо нормальных животных есть динозавры! Совершенно круто ... пока они не убегают, как в каждом фильме ужасов, когда -либо снятых. Дух! В любом случае, Dream-Me запрыгивает в грузовик с некоторыми разорванными, крутыми парнями, и мы просто начинаем ездить, стрелять в динозавров и прочее. Я чувствовал себя законным героем боевика! 

so, я думаю, это место не совсем. Есть динозавры, но у меня нет оружия или грузовика. Также я совершенно один ... 

but Это все еще просто мечта, верно? Я имею в виду, очевидно! Я даже не знаю, почему я записываю это, это все в моей голове. Все, что мне нужно сделать, это уйти с этого утеса, и я проснусь прямо перед тем, как нахожусь на землю.",
Content/1396644022,Пик Фара,
Content/1391498959,Фермерство,
Content/2485639,Фарс пик,
Content/457522023,Фасоль (1),
Content/1175330063,Бобовые,
Content/2823858614,Досье фасоли,
Content/3488483167,Яйцо Фасолазуха,
Content/2415986226,Седло бобового,
Content/1787712456,Быстрообучаемый,
Content/1553417105,Толстый,
Content/2002461364,Фавориты,
Content/2149969050,Избранное:,
Content/4241622881,Страх,
Content/1094736015,Отметины на оперении,
Content/1442073298,Тени перьев,
Content/2029814156,Яснокрыл,
Content/4293262251,Перьев (1-3),
Content/2554909601,Досье на Яснокрыла,
Content/2150031836,Яйцо Яснокрыла,
Content/3726456071,Отметины на оперении,
Content/2478020235,Основа оперения,
Content/3023745001,Штрихи на перьях,
Content/999849975,Перья,
Content/1130097034,Фекалии,
Content/1319085767,Экзо-ботинки Федерации,
Content/3393580612,Экзошлем Федерации,
Content/656263168,Экзо-нагрудник Федерации,
Content/313797697,Экзо-перчатки Федерации,
Content/3461159528,Экзо-штаны Федерации,
Content/814274663,"Для приручения накормите рыбой, пока существо спит естественным образом",
Content/502400808,Кормить рыбой {0},
Content/3638706236,Накормите меня сейчас же!,
Content/2949082760,Кормушка,
Content/509933305,Питание драгоценной кровью.,
Content/356677556,"Если скормить это любому существу, оно будет отмечено как хозяин для яйцекладущей Rhyniognatha.",
Content/3898296769,Очень очень очень жарко,
Content/1576228423,НОГИ,
Content/2990486717,Ноги и руки,
Content/3214924923,Ноги и отметины,
Content/2208032303,Фелсблок Плато,
Content/246853087,Фетровые рога оленя,
Content/971907003,Женский,
Content/617449985,Жен. Афро,
Content/3876948238,Жен. Косички,
Content/692573160,Жен. Стандартный,
Content/1818123830,Жен. Дреды,
Content/4000915159,Жен. Ирокез,
Content/725919498,Жен. Хвост,
Content/3905843368,Жен. Романтический,
Content/2579775005,Жен. Викинг,
Content/196411425,Основание забора,
Content/3961195533,"Отбиваться от натиска роботов-хищников становится все труднее. Дефрагментируйте их, пока они вас не стерли.",
Content/1526833591,"Отвратитесь от протоколов антивируса, пока подсистема репликации не сможет переехать на другой сервер",
Content/823142724,"Отбивайтесь от атак, пока не закончится время!",
Content/4002346247,Фенрир,
Content/1602992713,Фенрир усилен,
Content/1120059891,"Толстый покров из снега и льда на теле Фенрира сильно затрудняет причинение ему вреда.

Показатель брони увеличен, пока активна Морозная броня.",
Content/2653704450,Фенрис,
Content/3630049166,Фенрис (Альфа),
Content/330852792,Фенрис (Бета),
Content/2851895460,Фенрис (Гамма),
Content/2268564715,Флаг Фенриса,
Content/286150721,Флаг Фенриса,
Content/3592412767,Голова Фенриса,
Content/3901390539,Феореле,
Content/1244966296,"Здесь производится закваска вкуснейшего напитка из соломы, воды и ягод.",
Content/2452083664,Ферокс,
Content/150788354,Ферокс (преобразованный),
Content/1149841639,Отстрел Фероксов,
Content/2461142848,"Кремень из ферроцерия, который не так затупляется, как обычный камень.",
Content/3675687048,Плодородное озеро 1,
Content/1730252057,Плодородное приозерье 1 (Легко),
Content/3382912870,Плодородное озеро 2,
Content/2923333030,Плодородное приозерье 2 (Легко),
Content/1897873411,Плодородное озеро 3,
Content/1608810508,Плодородное приозерье 3 (Легко),
Content/3972561082,Плодородное озеро 4,
Content/1536808385,Плодородное приозерье 4 (Средне),
Content/1215847123,Плодородная река,
Content/473954230,Плодородная река (Средне),
Content/63235323,Оплодотворяется,
Content/1966275014,Оплодотворённая икринка Аберрантного Удильщика,
Content/4264491792,Оплодотворённое яйцо Аберрантного Анкилозавра,
Content/3224384174,Оплодотворённое яйцо Аберрантного Аранео,
Content/3693236115,Оплодотворённое яйцо Аберрантной Артроплевры,
Content/1537522310,Оплодотворённое яйцо Аберрантного Барионикса,
Content/2007618759,Оплодотворённая икринка Аберрантной Жабы,
Content/3485079451,Оплодотворённое яйцо Аберрантного Карнотавра,
Content/4125949732,Оплодотворённое яйцо Аберрантного Диметродона,
Content/2857252499,Оплодотворённое яйцо Аберрантного Диплодока,
Content/3932426388,Оплодотворённое яйцо Аберрантного Диплокаулуса,
Content/506951327,Оплодотворённое яйцо Аберрантного Додо,
Content/1174445738,Оплодотворённая икринка Аберрантного Угря,
Content/85005702,Оплодотворенное яйцо аберрантного фасолазуха,
Content/2524331585,Оплодотворенное яйцо аберрантного гигантораптора,
Content/2264763823,Оплодотворённое яйцо Аберрантного Игуанодона,
Content/3386876548,Оплодотворённое яйцо Аберрантного Листрозавра,
Content/2201084646,Оплодотворённое яйцо Аберрантной Мегалании,
Content/3177867266,Оплодотворённое яйцо Аберрантного Мегалозавра,
Content/3166751513,Оплодотворённое яйцо Аберрантного Мосхопса,
Content/148318307,Оплодотворенное яйцо аберрантного овираптора,
Content/3064277245,Оплодотворённое яйцо Аберрантного Паразауролофа,
Content/936368044,Оплодотворённое яйцо Аберрантного Скорпиона,
Content/1064529154,Оплодотворённое яйцо Аберрантного Раптора,
Content/349549057,Оплодотворённое яйцо Аберрантного Саркозуха,
Content/3595968667,Оплодотворённое яйцо Аберрантного Спинозавра,
Content/4287397812,Оплодотворённое яйцо Аберрантного Стегозавра,
Content/219501985,Оплодотворённое яйцо Аберрантного Трицератопса,
Content/3527581522,Оплодотворённое яйцо Аберрантного Карбонемиса,
Content/2777672365,Оплодотворённое яйцо Аллозавра,
Content/4040807771,Оплодотворённое яйцо Амаргазавра,
Content/4129127515,Оплодотворённая икринка Удильщика,
Content/2097249933,Оплодотворённое яйцо Анкилозавра,
Content/1126151987,Оплодотворённое яйцо Аранео,
Content/1846205526,Оплодотворённое яйцо Археоптерикса,
Content/1706284865,Оплодотворённое яйцо Аргентависа,
Content/1506668262,Оплодотворённое яйцо Артроплевры,
Content/900965202,Оплодотворённое яйцо Барионикса,
Content/4076453627,Оплодотворенное яйцо василиска,
Content/1063882291,Оплодотворённая икринка Жабы,
Content/2640177454,Оплодотворённое яйцо Кровавой кристальной виверны,
Content/871498042,Оплодотворённое яйцо Бладсталкера,
Content/1035353802,Оплодотворённое яйцо Бронтозавра,
Content/2438647916,Оплодотворённое яйцо Мореллатопса,
Content/3050956953,Оплодотворенное яйцо кархародонтозавра,
Content/2069255783,Оплодотворённое яйцо Карнотавра,
Content/1018533884,Оплодотворенное яйцо цератозавра,
Content/3125450820,Оплодотворённое яйцо Компсогната,
Content/3939271544,Оплодотворённое яйцо Кристальной виверны,
Content/2911694199,Оплодотворённое яйцо Дейнониха,
Content/338515799,Оплодотворенное яйцо дейнозуха,
Content/597722009,Оплодотворённое яйцо Дилофозавра,
Content/3173819856,Оплодотворённое яйцо Диметродона,
Content/2217116573,Оплодотворённое яйцо Диморфодона,
Content/513963887,Оплодотворённое яйцо Диплодока,
Content/834020590,Оплодотворённое яйцо Диплокаулуса,
Content/4094800233,Оплодотворённое яйцо Додо,
Content/2216845658,Оплодотворённая икринка Электрофоруса,
Content/2777538543,Оплодотворённое яйцо Тлеющей кристальной виверны,
Content/2164176115,Оплодотворенное яйцо фасолазуха,
Content/3476443760,Оплодотворённое яйцо Яснокрыла,
Content/1414270460,Оплодотворённое яйцо Огненной виверны,
Content/665833207,Оплодотворённое яйцо Ястреба фьордов,
Content/2770399200,Оплодотворённое яйцо Галлимима,
Content/3668978482,Оплодотворённое яйцо Гиганотозавра,
Content/1444528436,Оплодотворенное яйцо гигантораптора,
Content/1375241206,Оплодотворённое яйцо Лучехвоста,
Content/2187520384,Оплодотворённое яйцо Гесперорниса,
Content/1756075074,Оплодотворённое яйцо Ледяной виверны,
Content/3285558825,Оплодотворённое яйцо Ихтиорниса,
Content/2478175063,Оплодотворённое яйцо Игуанодона,
Content/1533981668,Оплодотворенное яйцо прыгающего паука,
Content/1125566407,Оплодотворённое яйцо Кайруку,
Content/2366574009,Оплодотворённое яйцо Карпозуха,
Content/17627327,Оплодотворённое яйцо Кентрозавра,
Content/3928821924,Оплодотворённое яйцо Грозовой виверны,
Content/1278215153,Оплодотворённое яйцо Листрозавра,
Content/2969146134,Оплодотворённое яйцо Магмазавра,
Content/2863512925,Оплодотворённое яйцо Богомола,
Content/2503882664,Оплодотворённое яйцо Мегахелона,
Content/2524552222,Оплодотворённое яйцо Мегалании,
Content/948291959,Оплодотворённое яйцо Мегалозавра,
Content/2180829758,Оплодотворённое яйцо Микрораптора,
Content/1811226162,Оплодотворенное яйцо мореллатопса,
Content/3537359565,Оплодотворённое яйцо Мосхопса,
Content/2029017401,Оплодотворённое яйцо Шелкопряда,
Content/496981659,Оплодотворённое яйцо Овираптора,
Content/2223113939,Оплодотворённое яйцо Пахицефалозавра,
Content/3516126871,Оплодотворённое яйцо Пахиринозавра,
Content/3635556649,Оплодотворённое яйцо Паразауролофа,
Content/3898476307,Оплодотворённое яйцо Пегомастакса,
Content/2892464711,Оплодотворённое яйцо Пелагорниса,
Content/2883578102,Оплодотворённое яйцо Ядовитой виверны,
Content/59569237,Оплодотворённое яйцо Птеранодона,
Content/1375622972,Оплодотворённое яйцо Скорпиона,
Content/1834347981,Оплодотворённое яйцо Кетцалькоатля,
Content/933190654,Оплодотворённое яйцо R-Аллозавра,
Content/432765732,Оплодотворённое яйцо R-Бронтозавра,
Content/4109291159,Оплодотворённое яйцо R-Карнотавра,
Content/2385582388,Оплодотворённое яйцо R-Дилофозавра,
Content/309974988,Оплодотворённое яйцо R-Гиганотозавра,
Content/3676752767,Оплодотворённое яйцо R-Паразауролофа,
Content/2335602567,Оплодотворённое яйцо R-Кетцалькоатля,
Content/2806440164,Оплодотворённое яйцо R-Снежной совы,
Content/1964007201,Оплодотворённое яйцо R-Карбонемиса,
Content/820355610,Оплодотворённое яйцо R-Велоназавра,
Content/3160205471,Оплодотворённое яйцо Раптора,
Content/895419301,Оплодотворённое яйцо Тираннозавра,
Content/3260218233,Оплодотворённое яйцо Скального дрейка,
Content/2688152573,Оплодотворённое яйцо Саркозуха,
Content/2056932453,Оплодотворённое яйцо Синомакропса,
